category	text
Kings of Judah	Saul 1095 B. C.
Kings of Judah	David 1055 B. C.
Kings of Judah	Solomon 1015 B. C.
Kings of Judah	Rehoboam 975 B. C.
Kings of Judah	Abijah 958 B. C.
Kings of Judah	Asa 955  B. C.
Kings of Judah	Jehosaphat 914 B. C.
Kings of Judah	Joram 889  B. C.
Kings of Judah	Ahaziah 885  B. C.
Kings of Judah	Athaliah 884 B. C.
Kings of Judah	Joash 878 B. C.
Kings of Judah	Amaziah  839  B. C.
Kings of Judah	Uzziah 809  B. C.
Kings of Judah	Jotham 757 B. C.
Kings of Judah	Ahaz 741 B. C.
Kings of Judah	Hezekiah 726 B. C.
Kings of Judah	Menasseh 697 B. C.
Kings of Judah	Ammon 642 B. C.
Kings of Judah	Josiah 640 B. C.
Kings of Judah	Jehoiakim 608 B. C.
Kings of Babylon	Nebuchadnezzar 604 B. C.
Kings of Persia	Cyrus 559 B. C.
Kings of Persia	Cambyses 529 B. C.
Kings of Persia	Darius Hystaspis 521 B. C.
Kings of Persia	Xerxes 485 B. C.
Kings of Persia	Artaxerxes Longimanus 464 B. C.
Kings of Persia	Xerxes 2d 425 B. C.
Kings of Persia	Darius Nothus 423 B. C.
Kings of Persia	Artaxerxes Mnemon 404 B. C.
Kings of Persia	Ochus 358 B. C.
Kings of Persia	Arses 337 B. C.
Kings of Persia	Darios Codomannus 335 B. C.
Kings of Macedonia	Alexander the Great 336 B. C.
Ptolemies of Egypt	Ptolemy Lagides 323 B. C.
Ptolemies of Egypt	Philadelphus 284 B. C.
Ptolemies of Egypt	Euergetes 246 B. C.
Ptolemies of Egypt	Philopator 221 B. C.
Ptolemies of Egypt	Epiphanes 204 B. C.
Ptolemies of Egypt	Philometor 180 B. C.
Ptolemies of Egypt	Euergetes 2d or Physcon 145 B. C.
Ptolemies of Egypt	Lathyras 116 B. C.
Ptolemies of Egypt	Alexander 106 B. C.
Ptolemies of Egypt	Lathyras restored 88 B. C.
Ptolemies of Egypt	Alexander 3d 80 B. C.
Ptolemies of Egypt	Dionysius or Auletes 65 B. C.
Ptolemies of Egypt	Dionysius 2d with Cleopatra 51 B. C.
Ptolemies of Egypt	Cleopatra 46 B. C.
Roman Emperors	Augustus 31 B. C.
Roman Emperors	Tiberius 14
Roman Emperors	Caligula 37
Roman Emperors	Claudius 41
Roman Emperors	Nero 54
Roman Emperors	Galba &c. 68
Roman Emperors	Vespasian 69
Roman Emperors	Titus 79
Roman Emperors	Domitian 81
Roman Emperors	Nerva 96
Roman Emperors	Trajan 98
Roman Emperors	Adrian 117
Roman Emperors	Antoninus Plus 138
Roman Emperors	Aurelius 161
Roman Emperors	Commodus 180
Roman Emperors	Pertinax &c. 193
Roman Emperors	Severus 194
Roman Emperors	Caracalla 211
Roman Emperors	Heliogabalus 218
Roman Emperors	Alexander 222
Roman Emperors	Maximinus 235
Roman Emperors	Gordanius Junior 238
Roman Emperors	Philip 244
Roman Emperors	Decius 249
Roman Emperors	Gallus 251
Roman Emperors	Gallienus 254
Roman Emperors	Claudius 268
Roman Emperors	Aurelian 270
Roman Emperors	Probus 276
Roman Emperors	Aurelius Carus 282
Roman Emperors	Dioclesian 284
Roman Emperors	Constantius Chlorus 304
Roman Emperors	Constantine the Great 306
Roman Emperors	Constantius 2d 337
Roman Emperors	Julian 361
Roman Emperors	Jovian 363
Roman Emperors	Valens 364
Roman Emperors	Theodosius the Great 379
Roman Emperors	Arcadius 395
Roman Emperors	Theodosius 2d 408
Roman Emperors	Marcianus 450
Roman Emperors	Leo 1st 457
Roman Emperors	Leo Junior 474
Roman Emperors	Anastasias 491
Roman Emperors	Justin 518
Roman Emperors	Justinian 527
Roman Emperors	Justin 2d 565
Roman Emperors	Tiberius 2d 578
Roman Emperors	Mauricius 582
Roman Emperors	Phocas 602
Roman Emperors	Heraclius 610
Roman Emperors	Constans 2d 642
Roman Emperors	Constantine 5th 668
Roman Emperors	Justinian 2d 685
Roman Emperors	Leontius 694
Roman Emperors	Absimarus Tiberius 697
Roman Emperors	Justinian 2d restored 704
Roman Emperors	Philippicus 711
Roman Emperors	Anastasius 2d 713
Roman Emperors	Theodosius 715
Roman Emperors	Leo Isauricus 717
Roman Emperors	Constantine 6th 741
Roman Emperors	Leo 4th 775
Roman Emperors	Constantine 7th 780
Roman Emperors	Irene atone 797
Roman Emperors	Nicephorus Logothetes 802
Roman Emperors	Michael 1st 811
Roman Emperors	Leo 5th, the Armenian 813
Roman Emperors	Michael 2d 821
Roman Emperors	Theophilus 829
Roman Emperors	Michael 3d 842
Roman Emperors	Basilius, the Macedonian 867
Roman Emperors	Leo 6th 886
Roman Emperors	Constantine 9th 912
Roman Emperors	Romanus 2d 959
Roman Emperors	Nicephorus Phocas 963
Roman Emperors	John Zimisces 969
Roman Emperors	Constantine 10th 975
Roman Emperors	Romanus 2d 1028
Roman Emperors	Michael 4th 1034
Roman Emperors	Michael 5th 1041
Roman Emperors	Constantine 11th 1042
Roman Emperors	Theodora 1054
Roman Emperors	Michael 6th 1056
Roman Emperors	Isaac Comnenus 1057
Roman Emperors	Constantine 12th 1059
Kings of England	William the Conqueror 1066
Kings of England	William Rufus 1087
Kings of England	Henry 1st 1100
Kings of England	Stephen 1135
Kings of England	Henry 2d 1154
Kings of England	Richard 1189
Kings of England	John 1199
Kings of England	Henry 3d 1216
Kings of England	Edward 1st 1272
Kings of England	Edward 2d 1307
Kings of England	Edward 3d 1327
Kings of England	Richard 2d 1377
Kings of England	Henry 4th 1399
Kings of England	Henry 5th 1413
Kings of England	Henry 6th 1422
Kings of England	Edward 4th 1461
Kings of England	Edward 5th and Richard 3d 1483
Kings of England	Henry 7th 1485
Kings of England	Henry 8th 1509
Kings of England	Edward 6th 1547
Kings of England	Mary 1553
Kings of England	Elizabeth 1558
Kings of England	James 1st 1603
Kings of England	Charles 1st 1625
Kings of England	Charles 2d 1660
Kings of England	James 2d 1685
Kings of England	William 3d 1689
Kings of England	Ann 1702
Kings of England	George 1st 1714
Kings of England	George 2d 1727
Kings of England	George 3d 1760
